№ по частотному списку,"произношение (перетащил мышкой со словаря LINGVO, www.lingvoda.ru)",УПРОЩЕННЫЙ иероглиф,"традиционный иероглиф, до №100 (если он отличается от упрощенного)",русский перевод (компьютер-переводом),,Компонент 1,Компонент 2,Компонент 3,Компонент 4,,MAO story,Моя?
1188,gao3,稿,,рукопись; черновик; набросок,рукопись; черновик; набросок,,,,,,,
1189,huan3,缓,,медлить; медленный,медлить; медленный,,,,,,,
1190,xing2,刑,,"кара, наказание",наказание; наказывать,японские ворота,меч,,,,"Высшая КАРА, НАКАЗАНИЕ для преступника, это привязывание его к японским воротам и разрезание на куски тупым медным (2 тон) мечом.",
1191,fang3,纺,,прясть,прясть,,,,,,,
1192,mao4,贸,,торговля; торговать,торговля; торговать,,,,,,,
1193,chu4,触,,"трогать, натолкнуться, задеть, коснуться","коснуться; тронуть; задеть, затронуть",чубчик,бабушка Нефертити,муха,,,"Бабушка Нефертити сделала себе очень модную прическу. Завила себе плойкой большой и огромный чуб. И села перед зеркалом любоваться собой. 
Вдруг чувствует,  кто-то ее за чуб ТРОГАЕТ. Она полезла поправлять прическу и НАТОЛКНУЛАСЬ… Фу! Какая гадость, на большую черную(4 тон) лохматую муху. ",
1194,shen1,伸,,вытягивать(ся); протягивать(ся); высовывать,вытягивать(ся); протягивать(ся); высовывать,,,,,,,
1195,zhang4,丈,,"чжан (мера длины, равная 3,33 м)","чжан (мера длины, равная 3,33 м)",,,,,,,
1196,ren2,仁,,"гуманность, человечность; гуманный, человечный","гуманность, человечность; гуманный, человечный",,,,,,,
1197,fu2,幅,,"полоса ткани; полотно, полотнище","полоса ткани; полотно, полотнище",,,,,,,
1198,suo1,缩,,"сжимать; сокращать, уменьшить",сжиматься; сокращаться,нос,человек,берет,холодильник,,"Худенький и злой человечек с огромным сопливым носом, который он прятал под зеленым (1 тон) беретом ( в цвет  подобрал). Узнал, что если взять копье, нанизать на него свой нос и положить все это в холодильник, то нос начнет СЖИМАТЬСЯ и СОКРАЩАТСЯ и станет маленькой красивой носопыркой. Он жаждал УМЕНЬШИТЬ свой нос больше всего на свете.",
1199,xiu4,袖,,рукав,рукав,,,,,,,
1200,su2,俗,,обычай; нравы,обычай; нравы,,,,,,,
1201,miao4,妙,,"замечательный, прекрасный; замечательно","замечательный, прекрасный; замечательно",,,,,,,
1202,fan2,繁,,многочисленный; многообразный; сложный,многочисленный; многообразный; сложный,,,,,,,
1203,ji4,迹,,след [отпечаток] ноги,след [отпечаток] ноги,,,,,,,
1204,wang3,网,,"сетка, сеть","сетка; прям., перен. Сеть",сетка,,,,,"Волейбольная СЕТКА, новая такая СЕТЬ расшитая рюшечками и цветочками специально для голубых (3 тон) волейболистов ",
1205,liang4,辆,,сч. сл. для колёсного транспорта,сч. сл. для колёсного транспорта,,,,,,,
1206,mo2,磨,,тереть; шлифовать; полировать; точить,тереть; шлифовать; полировать; точить,,,,,,,
1207,pei2,培,,"воспитывать, взращивать",подсыпать,,,,,,,
1208,xu2,徐,,медленно,медленно,,,,,,,
1209,fen3,粉,,порошок,порошок; пудра,,,,,,,
1210,duo2,夺,,"отнять, отобрать","отнять, отобрать",,,,,,,
1211,kuang4,矿,,ископаемые; руда; минералы,ископаемые; руда; минералы,,,,,,,
1212,cheng2,乘,,ехать на чём-либо,ехать на чём-либо,,,,,,,
1213,mie4,灭,,"тушить, гасить","тушить, гасить",,,,,,,
1214,han3,喊,,кричать; выкрикивать; окликать; звать,кричать; выкрикивать; окликать; звать,,,,,,,
1215,tiao1,挑,,"выбирать; нести (на коромысле, плечах)","нести (на коромысле, плечах)",,,,,,,
1216,shou4,售,,продавать,продавать,птеродактиль,рот,,,,"Зубастик хочет продать свой рот на органы, денег задолжал. Правда, много за него не дадут, так как у него черные (4 тон) гнилые зубы, зато их очень много. ",
1217,chuan1,川,,река,река,,,,,,,
1218,xiu4,秀,,колоситься,колоситься,,,,,,,
1219,bi4,币,,деньги; валюта,деньги; валюта,,,,,,,
1220,jin4,劲,,сила,сила,,,,,,,
1221,xin1,欣,,радоваться; радость; с радостью,радоваться; радость; с радостью,,,,,,,
1222,qing1,倾,,"наклонить(ся); склониться, наклон; полит. Уклон","наклонить(ся); склониться, наклон; полит. Уклон",,,,,,,
1223,zhao4,赵,,Чжао (княжество в древнем Китае),Чжао (княжество в древнем Китае),,,,,,,
1224,tie1,贴,,"липнуть; приклеивать, вклеивать, наклеить","наклеивать, приклеивать; наклейка",сирота,танк,,,,"Сирота ПРИКЛЕИЛСЯ к танку своей коробкой, как прилипала, в этом ему помог супер сильный зеленый (1 тон) КЛЕЙ",
1225,xun4,讯,,спрашивать; расспрашивать,спрашивать; расспрашивать,,,,,,,
1226,tu2,徒,,"шагать, идти пешком","шагать, идти пешком",,,,,,,
1227,bei1,杯,,"ручной сосуд для питья (стакан; кружка; бокал; рюмка), (счетное слово)","ручной сосуд для питья (стакан; кружка; бокал; рюмка), (счетное слово)",,,,,,,
1228,ben1,奔,,"мчаться, стремительно бежать","мчаться, стремительно бежать",,,,,,,
1229,ci4,刺,,колоть; втыкать; пронзать; жалить,колоть; втыкать; пронзать; жалить,,,,,,,
1230,bao4,爆,,взорваться; лопнуть,взорваться; лопнуть,,,,,,,
1231,dun4,盾,,щит (воина),щит (воина),,,,,,,
1232,zhu1,珠,,жемчуг; жемчужина,жемчуг; жемчужина,,,,,,,
1233,shan3,闪,,сверкнуть; блеснуть; мелькнуть,сверкнуть; блеснуть; мелькнуть,,,,,,,
1234,cao1,操,,брать; держать в руках (также перен.); оперировать; делать,брать; держать в руках (также перен.); оперировать; делать,,,,,,,
1235,fei4,废,,отказаться от; бросить,отказаться от; бросить,,,,,,,
1236,bu3,捕,,"ловить; поймать, схватить; полицейский","ловить; поймать, схватить; полицейский",,,,,,,
1237,xian2,闲,,"праздный, незанятый, свободный","незанятый; свободный; быть свободным [незанятым]; простаивать (напр., о станке)",дверь,дерево,,,,"Сквозь медную (2 тон) дверь проросло дерево, видимо комната за этой дверью давно НЕЗАНЯТА и СВОБОДНА. ",
1238,gun3,滚,,катить; катиться,катить; катиться,,,,,,,
1239,sai1,塞,,всунуть; засунуть,всунуть; засунуть,,,,,,,
1240,kuang2,狂,,безумный; сумасшедший; бешеный (также перен.); бешенство; мания,безумный; сумасшедший; бешеный (также перен.); бешенство; мания,,,,,,,
1241,meng1,蒙,,обманывать; дурачить,обманывать; дурачить,,,,,,,
1242,ji2,籍,,книги; литература,книги; литература,,,,,,,
1243,xuan2,旋,,кружиться; вращаться,кружиться; вращаться,,,,,,,
1244,qi4,弃,,бросить; оставить,бросить; оставить,,,,,,,
1245,xiong1,兄,,старший брат,старший брат,,,,,,,
1246,hui1,辉,,блестеть; сиять; блеск; сияние,блестеть; сиять; блеск; сияние,,,,,,,
1247,dang4,荡,,качаться; раскачиваться; плыть (на лодке); смыть,качаться; раскачиваться; плыть (на лодке),,,,,,,
1248,zhu1,朱,,красный,красный,,,,,,,
1249,tui3,腿,,нога (выше ступни); бедро,нога (выше ступни); бедро,,,,,,,
1250,po1,颇,,весьма; очень,весьма; очень,,,,,,,
1251,ting1,厅,,"1. офис, холл, зал 
2. управление",зал,слепой крокодил,кайло,,,,"Слепому крокодильчику выдали кайло, фирменного зеленого (1 тон)  цвета, чтобы каждого приходящего в наш ОФИС, прямо в ЗАЛЕ, он стучал по голове. Он хоть и слепой, но слух у него отменный, так что не промахнется. ",
1252,ao4,奥,,"глубокий, сокровенный; таинственный","глубокий, сокровенный; таинственный",,,,,,,
1253,jing4,敬,,"уважать, почитать, чтить","уважать, почитать",колючая проволока,Букатино,хвостатая цапля,,,"Буратино надел на голову венок из колючей проволоки (она оцарапала ее в кровь (2 тон), но он готов это терпеть) Затем он смиренно повернулся задом к большой хвостатой цапле, ведь он ее сильно УВАЖАЕТ, и нет лучше способа выразить свое уважение. 
Но хитрый Буратино в то же самое время продолжал травить пошлые анекдоты со ртом. Ведь он ПОЧИТАЕТ и ЧТИТ и его то же. ",
1254,yue4,跃,,прыгать; подпрыгивать,прыгать; подпрыгивать,,,,,,,
1255,ping2,凭,,опираться на что-либо,опираться на что-либо,,,,,,,
1256,ni2,泥,,"грязь, глина, слякоть; ил","грязь и консистенция, похожая на неё (глина, пюрэ)",вода,топор,матросик,,,"Брызги воды летят, когда своим медным (2 тон) морским топором матросик шлепает по ГРЯЗИ. Сидит довольный в луже, вымазанный ГЛИНОЙ и ИЛОМ и улыбается. ",
1257,hua2,滑,,гладкий; скользкий; скользить,гладкий; скользкий; скользить,,,,,,,
1258,po2,婆,,старуха; бабка,старуха; бабка,,,,,,,
1259,di3,抵,,подпереть; упереть(ся),подпереть; упереть(ся),,,,,,,
1260,dan4,蛋,,"яйцо, овал",яйцо,жена Мазая,муха,,,,"Жена Мазая мужественно отгоняла веслом большую наглую муху, которая хотела сожрать черные (4 тон) перепелиные ЯЙЦА из ОВАЛЬНОГО лукошка. ",
1261,bi4,闭,,закрывать; запирать,закрывать; запирать,,,,,,,
1262,yu3,宇,,дом,дом,,,,,,,
1263,mao2,矛,,пика; копьё,пика; копьё,,,,,,,
1264,can2,残,,попорченный; дефектный,попорченный; дефектный,,,,,,,
1265,lei2,雷,,гром,гром,дождь,поле,,,,"Сумерки, и только дождь начинает лить на поле, сразу раздается ГРОМ и видны красные (2 тон) всполохи",
1266,jing4,竞,,состязаться; конкурировать,состязаться; конкурировать,,,,,,,
1267,xiang1,箱,,"ящик, сундук, чемодан",ящик; чемодан,фашисты,дерево,лестница,,,"Фашисты приставили к дереву лестницу, и по ней затащили на дерево большой деревянный (1 тон) ЯЩИК, СУНДУК, внутри которого был ЧЕМОДАН с харчами.",
1268,dai4,戴,,"носить; надевать (головной убор, перчатки, украшения и т. п.)","носить; надевать (головной убор, перчатки, украшения и т. п.)",,,,,,,
1269,dai4,袋,,мешок; сумка; кошелёк,мешок; сумка; кошелёк,,,,,,,
1270,xi1,析,,разделять; расщеплять,разделять; расщеплять,,,,,,,
1271,pu1,铺,,расстилать; стелить,расстилать; стелить,,,,,,,
1272,mao4,冒,,1) выступать (вырываться) наружу; 2) рисковать,1) выступать (вырываться) наружу; 2) рисковать,,,,,,,
1273,ce4,侧,,сторона; бок; фланг; боковой; фланговый,сторона; бок; фланг; боковой; фланговый,,,,,,,
1274,zan2,咱,,я; мы (говорящий и слушающий вместе),я; мы (говорящий и слушающий вместе),,,,,,,
1275,lB,啦,,(модальная частица); конечная частица,(модальная частица); конечная частица,,,,,,,
1276,yuan2,援,,поддерживать; помогать; помощь,поддерживать; помогать; помощь,,,,,,,
1277,ku4,库,,"товарный склад, хранилище",склад; хранилище,кроколил,телега,,,,"Крокодил Гена обкурился и на своей крутой телеге, черном (4 тон) Ламборджини Дьяболо и врезался в ТОВАРНЫЙ СКЛАД,  ХРАНИЛИЩЕ студии «СоюзМультфильм». ",
1278,nai3,乃,,"являться, представлять собой; (именно) и есть","являться, представлять собой; (именно) и есть",,,,,,,
1279,e2,俄,,"1) вдруг, внезапно2) соч. Россия","1) вдруг, внезапно2) соч. Россия",,,,,,,
1280,jing4,净,,чистый,чистый,,,,,,,
1281,liang3,俩,,"два, двое; оба, вдвоём","два, двое; оба, вдвоём",,,,,,,
1282,shu1,殊,,особый; особенный,особый; особенный,,,,,,,
1283,xi1,惜,,жалеть; щадить,жалеть; щадить,,,,,,,
1284,hui1,灰,,"пепел, серый",1) зола; пепел; нагар; 2) серый,слепой крокодил,огонь,,,,Меч катана деревянный(1 тон) бросаем в костер и получаем СЕРЫЙ ПЕПЕЛ.,
1285,cha1,插,,вставлять; всовывать; сажать (рассаду),вставлять; всовывать; сажать (рассаду),,,,,,,
1286,che4,彻,,"сплошь; до конца, полностью","сплошь; до конца, полностью",,,,,,,
1287,fang3,仿,,подражать; имитировать; копировать,подражать; имитировать; копировать,человек,футболист,,,,"Худенький человечек, КОПИРОВАЛ походку футболиста и внешне на него ПОХОДИЛ.
Но он всегда неудачно ИМИТИРОВАЛ его игру.  Видимо, потому что он был голубым (3 тон) э эх пародистом.",
1288,xu1,虚,,пустой; порожний,пустой; порожний,,,,,,,
1289,shu1,舒,,"1) приятно; 2) распрямиться; растягивать; расправлять (напр., складки)","1) приятно; 2) распрямиться; растягивать; расправлять (напр., складки)",,,,,,,
1290,bai4,拜,,"кланяться, отвешивать поклоны","кланяться, отвешивать поклоны",,,,,,,
1291,she4,舍,,"1) бросить; отбросить; отказаться от чего-либо; 2) дом, хижина","1) бросить; отбросить; отказаться от чего-либо; 2) дом, хижина",,,,,,,
1292,lan2,蓝,,синий,синий; голубой,колючая проволока,фашист,кол,батарея,,"Зимой, фашист на посту воткнул два кола в землю, обмотал их колючей проволокой, Установил медную (2 тон) батарею. И сел на нее. Через час он был совсем СИНИЙ. Так как батарея не грела",
1293,pin2,贫,,бедный; неимущий,бедный; неимущий,,,,,,,
1294,han4,汗,,пот,пот,,,,,,,
1295,yong1,拥,,обнимать,обнимать,,,,,,,
1296,zhe2,哲,,мудрый; мудрец,мудрый; мудрец,,,,,,,
1297,ji4,绩,,"1) сучить; прясть; 2) достижения, достоинства","1) сучить; прясть; 2) достижения, достоинства",,,,,,,
1298,wu3,伍,,пять (прописью),пять (прописью),,,,,,,
1299,fu3,腐,,гнилой; гнить; разлагаться,гнилой; гнить; разлагаться,,,,,,,
1300,ba4,罢,,"прекратить, перестать; кончить","прекратить, перестать; кончить",,,,,,,
1301,gui3,鬼,,"1. призрак, дух, черт 
2. лукавый, коварный, хитроумный, хитрый","дьявол, чёрт; призрак",привидение,,,,,"Привидение - ПРИЗРАК, мягко светилось голубым (3 тон) светом. ПРИЗРАК был ХИТРЫМ и КОВАРНЫМ, своим свечением он заманивал к себе новые жертвы. ",
1302,yi2,仪,,церемониал; церемония; обряд,церемониал; церемония; обряд,,,,,,,
1303,hen4,恨,,ненависть,ненавидеть; ненависть,сердце,знаменосец,,,,"Сердечко у знаменосца каждый раз наполнялось злобой, и он начинал НЕНАВИДЕТЬ каждого, кто пытался отнять его черное ( 4 тон) пиратское знамя.",
1304,yu4,域,,район; территория; область,район; территория; область,,,,,,,
1305,hao2,豪,,выдающийся человек; корифей,выдающийся человек; корифей,,,,,,,
1306,yan2,颜,,1) цвет; окраска; 2) лицо; выражение лица,1) цвет; окраска; 2) лицо; выражение лица,,,,,,,
1307,zhu1,猪,,свинья,свинья,,,,,,,
1308,lun2,伦,,мораль; моральные устои,мораль; моральные устои,,,,,,,
1309,ping2,瓶,,"сосуд бутылочной или кувшинной формы (бутылка, кувшин, ваза, флакон)","сосуд бутылочной или кувшинной формы (бутылка, кувшин, ваза, флакон)",,,,,,,
1310,dan4,旦,,рассвет; утро; утром,рассвет; утро; утром,,,,,,,
1311,tuo1,拖,,тянуть; тащить; волочиться,тянуть; тащить; волочиться,,,,,,,
1312,xie4,械,,механизм; аппарат,механизм; аппарат,,,,,,,
1313,xin1,辛,,H,"горький, острый, твердый, жесткий; восьмой циклический знак (из десяти);",пугало,,,,,"Пугало набитое соломой на деревянной (1 тон) палке выглядело УСТАЛЫМ и УТОМЛЕННЫМ, тяжело вздыхая, оно поведало мне, тихим и УСТАЛЫМ голосом, что висит здесь уже 3 год и надежды, что его отсюда снимут не осталось.",
1314,she4,涉,,переходить [переправляться] вброд,переходить [переправляться] вброд,,,,,,,
1315,feng1,锋,,остриё,остриё,,,,,,,
1316,qi3,启,,открывать,открывать,,,,,,,
1317,dai1,呆,,глупый,"закоснелый, косный",рот,дерево,,,,"Если в рот запихать зеленое (1 тон) дерево, елку, это будет ГЛУПЫЙ и ТУПОЙ поступок. ",
1318,zun1,尊,,уважать; почитать,уважать; почитать,,,,,,,
1319,zhi4,智,,ум; разум; мудрость,ум; разум; мудрость,,,,,,,
1320,wan3,碗,,чашка; пиала,чашка; пиала,,,,,,,
1321,luo4,络,,главные жизненные каналы в организме,главные жизненные каналы в организме,,,,,,,
1322,ju4,距,,"1. расстояние, дистанция 
2. отстоять, отделять",расстояние; отстоять от,дед Мазай,звездолет,,,,"Деду Мазаю выдали маленький звездолет, чтобы он мог спасать инопланетянских кроликов на больших РАССТОЯНИЯХ в глубинах черного (4 тон) космоса. ДИСТАНЦИЯ, которая ОТДЕЛЯЛА его от целей, казалась огромной.",
1323, liao2,疗,,"лечить, исцелять",лечить; лечение,,,,,,"Крокодил с крылышками, прихватил свой медную косу, полетел ЛЕЧИТЬ, ИСЦЕЛЯТЬ страждущих от краснухи (2 тон). Зачем коса то ? :)",
1324,sui4,碎,,разбить; раздробить,разбить; раздробить,,,,,,,
1325,wei3,尾,,хвост,хвост,,,,,,,
1326,zu1,租,,"арендовать; снимать (напр., квартиру); брать напрокат","арендовать; снимать (напр., квартиру); брать напрокат",,,,,,,
1327,dui1,堆,,"наваливать, нагромождать; складывать (в кучу)","наваливать, нагромождать; складывать (в кучу)",,,,,,,
1328,xie2,鞋,,обувь,туфли; ботинки; обувь,чертик,росток,,,,Чертик из двух ростков из земли сшил себе красивые красные (2 тон) туфельки. Такая ОБУВЬ в моде у чертей в этом сезоне.,
1329,fan4,泛,,плавать; обширный,плавать,,,,,,,
1330,liang2,凉,,прохладный; холодный,прохладный; холодный,,,,,,,
1331,ran3,染,,красить; окрашивать; красильный,красить; окрашивать; красильный,,,,,,,
1332,rui4,瑞,,благоприятный,благодатный; благоприятный,король,гора,мина,,,"Король сегодня поедет в гору, под которой мы зарыли мега динамит. Это БЛАГОПРИЯТНЫЙ день для нашей диверсии. Надеюсь, его завалит камнями (4 тон)",
1333,guan4,贯,,связка монет из 1000 чохов,связка монет из 1000 чохов,,,,,,,
1334,qin2,琴,,цинь (китайская цитра); струнные инструменты,цинь (китайская цитра); струнные инструменты,,,,,,,
1335,zhen1,珍,,1) драгоценность; драгоценный; 2) редкий,1) драгоценность; драгоценный; 2) редкий,,,,,,,
1336,dan3,胆,,"внутренности, кишки",жёлчный пузырь,Нефертити,солнце,,,,"Нефертити вывесила под солнцем на копье свои КИШКИ и ВНУТРЕНОСТИ, чтобы подсушить.
А они обветрились и посинели (3 тон)",
1337,hui3,毁,,разрушить; сломать; разбить; уничтожить,разрушить; сломать; разбить; уничтожить,,,,,,,
1338,xiong1,胸,,грудь,грудь,,,,,,,
1339,she4,摄,,"усваивать (напр., пищу); воспринимать","усваивать (напр., пищу); воспринимать",,,,,,,
1340,wei2,违,,"нарушать; преступать (напр., законы)","нарушать; преступать (напр., законы)",,,,,,,
1341,ling2,龄,,возраст,возраст,,,,,,,
1342,niu3,纽,,держатель; ручка,держатель; ручка,,,,,,,
1343,za1,扎,,завязывать; привязывать; увязывать; заплетать (косу),завязывать; привязывать; увязывать; заплетать (косу),,,,,,,
1344,yao1,腰,,"1. талия, поясница 
2. пояс",поясница; талия; пояс,Нефертити,грузин,женщина,,,"Нефертити подошла к грузину и сняв ПОЯС верности, начала хвастаться своей тонкой ТАЛИЕЙ, но грузин был равнодушен, ведь он выстругал себе из бревна (1 тон) девушку, на которой и проводил все время. ",
1345,zu3,阻,,преграждать; мешать; препятствовать,преграждать; мешать; препятствовать,,,,,,,
1346,mo1,摸,,щупать; трогать; гладить (рукой),щупать; трогать; гладить (рукой),,,,,,,
1347,yuan2,缘,,причина,причина,,,,,,,
1348,bian4,辩,,спорить; дискутировать,спорить; дискутировать,,,,,,,
1349,you2,邮,,почта; почтовый,почта; почтовый,,,,,,,
1350,zhi1,枝,,ветка; ветвь,ветка; ветвь,,,,,,,
1351,zha4,炸,,жарить (во фритюре); поджаривать; жареный,жарить (во фритюре); поджаривать; жареный,,,,,,,
1352,nong2,浓,,густой; плотный; концентрированный; крепкий; сочный (о цвете),густой; плотный; концентрированный; крепкий; сочный (о цвете),,,,,,,
1353,hun1,昏,,кружиться (о голове); помутиться (о сознании),кружиться (о голове); помутиться (о сознании),,,,,,,
1354,yi4,忆,,вспоминать,помнить; память,сердце,пеликан,,,,"Сердечко у пеликана было очень маленьким, и он часто не мог ВСПОМНИТЬ, где же оно у него находится. Чтобы ВСПОМНИТЬ ему приходилось простукивать себе грудную клетку тяжелым камнем (4 тон). Где кольнет там у сердце. ",
1355,guo1,锅,,котёл; кастрюля; сковорода,котёл; кастрюля; сковорода,,,,,,,
1356,piao1,飘,,носиться (в воздухе); развеваться; реять,носиться (в воздухе); развеваться; реять,,,,,,,
1357,sheng4,剩,,оставаться; быть в остатке; оставшийся,оставаться; быть в остатке; оставшийся,,,,,,,
1358,shao1,稍,,немного; чуточку; незначительный,немного; чуточку; незначительный,,,,,,,
1359,fei2,肥,,жирный; тучный; обильный; жиреть,жирный; тучный; обильный; жиреть,,,,,,,
1360,dong4,洞,,"пещера, дыра",пещера; яма,вода,турник,копье,рот,,"турником рот выкопал себе черную (4 тон) ПЕЩЕРУ, ДЫРУ. В которую и забился. Пришлось взять копье и попытаться выковырять рот из ДЫРЫ, а то он мешает спортсменам. Но рот остервенело, визжал и плевался слюной. Совсем не собираясь покидать свою темную и уютную ПЕЩЕРУ.",
1361,jie1,皆,,все; всё,все; всё,,,,,,,
1362,hu1,糊,,замазать; зашпаклевать,замазать; зашпаклевать,,,,,,,
1363,tang2,糖,,сахар,сахар,,,,,,,
1364,ban4,伴,,компаньон; спутник; товарищ; партнёр,компаньон; спутник; товарищ; партнёр,,,,,,,
1365,cai2,裁,,кроить; вырезать; разрезать,кроить; вырезать; разрезать,,,,,,,
1366,zhi3,址,,"адрес, место(рас)положение","адрес, место(рас)положение",,,,,,,
1367,jie1,揭,,"содрать, отодрать; снять (напр., пластырь)","содрать, отодрать; снять (напр., пластырь)",,,,,,,
1368,jian1,艰,,трудный; тяжёлый,трудный; тяжёлый,,,,,,,
1369,juan1,捐,,пожертвовать,пожертвовать,,,,,,,
1370,xun2,询,,расспрашивать; разузнавать,расспрашивать; разузнавать,,,,,,,
1371,dan1,丹,,красный,красный,,,,,,,
1372,xi1,悉,,знать; узнать о чём-либо,знать; узнать о чём-либо,,,,,,,
1373,jin1,津,,переправа; брод,переправа; брод,,,,,,,
1374,xian4,宪,,конституция (основной закон),конституция (основной закон),,,,,,,
1375,yong3,涌,,бить ключом; вырываться наружу; хлынуть,бить ключом; вырываться наружу; хлынуть,,,,,,,
1376,qia4,恰,,как раз; кстати,как раз; кстати,,,,,,,
1377,zhu2,竹,,бамбук; бамбуковый,бамбук; бамбуковый,,,,,,,
1378,he2,核,,косточка плода,косточка плода,,,,,,,
1379,ting3,挺,,1) очень; 2) прямой; выпрямиться,1) очень; 2) прямой; выпрямиться,,,,,,,
1380, jing4,径,,тропинка; дорожка,"тропинка, дорожка; путь",пюпитр,пузо,росток,,,"Пузан поставил на ТРОПИНКУ пюпитр и с задумчивым видом его листал. Как вдруг, о, чудо. Прямо на ДОРОЖКЕ, под ногами пузана (в других шрифтах безголовый марабу), посреди черного (4) асфальта пророс росток из земли, прямо под пузаном.",
1381,cuo4,措,,1) размещать; располагать; 2) планировать,1) размещать; располагать; 2) планировать,,,,,,,
1382,gan1,甘,,"1. сладкий 
2. готов, рад, охотно",сладкий; сладость,гильотина,,,,,"Гильотина была покрыта СЛАДКОЙ зеленой (1 тон) слизью, на вкус похожей на варенье. Это загнившие отходы от нарубленных голов. (очень аппетитно :) Которые я ГОТОВ лакомиться хоть целыми днями. ОХОТНО поделюсь ими с вами. ",
1383,bao2,薄,,тонкий,тонкий,,,,,,,
1384,li4,粒,,зерно; крупинка,зерно; крупинка,,,,,,,
1385,bin1,宾,,гость,гость; гости,,,,,,,
1386,sao3,扫,,мести; подметать,мести; подметать,,,,,,,
1387,cu1,粗,,толстый; грубый,толстый,,,,,,,
1388,fu2,符,,"совпадать, соответствовать","совпадать, соответствовать",,,,,,,
1389,bao1,胞,,"детское место, послед","детское место, послед",,,,,,,
1390,jin1,斤,,"1) топор; 2) цзинь (мера веса, равная 0,5 кг)","1) топор; 2) цзинь (мера веса, равная 0,5 кг)",,,,,,,
1391,man4,漫,,разливаться; затапливать; переливаться через край,разливаться; затапливать; переливаться через край,,,,,,,
1392,pin1,拼,,"соединить; составить; сложить; прям., перен. сколотить","соединить; составить; сложить; прям., перен. сколотить",,,,,,,
1393,zhu1,诸,,"1) (обобщающее слово) много; все, каждый; 2) префикс множественного числа","1) (обобщающее слово) много; все, каждый; 2) префикс множественного числа",,,,,,,
1394,ji2,辑,,сборник; выпуск,сборник; выпуск,,,,,,,
1395,ke1,颗,,зерно; зёрнышко; также сч. сл. для мелких круглых предметов,зерно; зёрнышко; также сч. сл. для мелких круглых предметов,,,,,,,
1396,fa2,乏,,"не хватать, недоставать","не хватать, недоставать",,,,,,,
1397,peng4,碰,,"налететь; натолкнуться на что-либо; удариться, стукнуться; толкнуть","налететь; натолкнуться на что-либо; удариться, стукнуться; толкнуть",,,,,,,
1398,lie4,裂,,треснуть; растрескаться; расколоться; трещина,треснуть; растрескаться; расколоться; трещина,,,,,,,
1399,miao2,描,,"срисовывать, копировать","срисовывать, копировать",,,,,,,
1400,mei2,梅,,слива муме,слива муме,,,,,,,
1401,shi1,湿,,сырой; влажный; мокрый,сырой; влажный; мокрый,,,,,,,
1402,zuo2,昨,,вчера,вчера,,,,,,,
1403,cong1,匆,,"поспешно, торопливо","поспешно, торопливо",,,,,,,
1404,zai1,灾,,(стихийное) бедствие,(стихийное) бедствие,,,,,,,
1405,jiao1,焦,,"обгореть, обуглиться, подгореть","обгореть; подгореть, пригореть",птеродактиль,огонь,,,,Зубастый зеленый птеродактиль на огне мучился не долго. Он быстро ОБГОРЕЛ и ОБУГЛИЛСЯ,
1406,zhi2,植,,сажать,сажать,,,,,,,
1407,ju4,拒,,давать отпор; сопротивляться,давать отпор; сопротивляться,,,,,,,
1408,you2,犹,,"быть похожим; словно; так же, как","быть похожим; словно; так же, как",,,,,,,
1409,han2,韩,,Хань (название княжества в древнем Китае),Хань (название княжества в древнем Китае),,,,,,,
1410,feng1,峰,,пик; (горная) вершина,пик; (горная) вершина,,,,,,,
1411,lian4,炼,,1) плавить; выплавлять; 2) тренироваться,1) плавить; выплавлять; 2) тренироваться,,,,,,,
1412,xu4,绪,,"начало; предисловие, введение","начало; предисловие, введение",,,,,,,
1413,shu1,叔,,дядя (младший брат отца),дядя (младший брат отца),,,,,,,
1414,li2,黎,,множество; масса,множество; масса,,,,,,,
1415,jie4,届,,наступать (о сроке),наступать (о сроке),,,,,,,
1416,nai4,耐,,"вынести, вытерпеть","вынести, вытерпеть",,,,,,,
1417,hu3,虎,,тигр,тигр,,,,,,,
1418,ji3,挤,,теснить(ся); тесно,теснить(ся); тесно,,,,,,,
1419,li2,璃,,стекло; стеклянный,стекло; стеклянный,,,,,,,
1420,yang3,仰,,обратить взор вверх; лицом вверх,обратить взор вверх; лицом вверх,,,,,,,
1421,ye4,液,,жидкость,жидкость,,,,,,,
1422,nuan3,暖,,тепло; тёплый,тепло; тёплый,,,,,,,
1423,zhang4,障,,преграда; преграждать,преграда; преграждать,,,,,,,
1424,bei4,贝,,моллюск; раковина упрощённый,моллюск; раковина упрощённый,,,,,,,
1425,huang1,荒,,приходить в запустение; заброшенный; невозделанный; запущенный; глухой,приходить в запустение; заброшенный; невозделанный; запущенный; глухой,,,,,,,
1426,bi2,鼻,,нос,нос; носовой,кирпичи для каратиста,,,,,"Кирпичи для каратиста, если их попробовать разбить своим НОСОМ, то измажешь все вокруг красной(2 тон) кровью",
1427,tang1,汤,,кипяток,кипяток,,,,,,,
1428,yue4,阅,,читать,читать,,,,,,,
1429,mian2,棉,,1) хлопчатник; хлопок; 2) вата,1) хлопчатник; хлопок; 2) вата,,,,,,,
1430,suan1,酸,,кислый; прокиснуть,кислый; прокиснуть,,,,,,,
